timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103427437,364,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,364,0,0
1667103427802,505,Request1-1,200,OK,Thread Group 1-6,text,true,,17495,119,10,10,https://www.google.com/,494,0,0
1667103427534,865,Request1,200,OK,Thread Group 1-9,text,true,,18207,234,10,10,https://www.google.com/,353,0,0
1667103427534,353,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,353,0,0
1667103427887,512,Request1-1,200,OK,Thread Group 1-9,text,true,,17504,119,10,10,https://www.google.com/,501,0,0
1667103427672,817,Request1,200,OK,Thread Group 1-5,text,true,,18194,234,10,10,https://www.google.com/,358,0,0
1667103427672,358,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,358,0,0
1667103428030,459,Request1-1,200,OK,Thread Group 1-5,text,true,,17491,119,10,10,https://www.google.com/,445,0,0
1667103427525,1203,Request1,200,OK,Thread Group 1-10,text,true,,18204,234,10,10,https://www.google.com/,346,0,0
1667103427525,346,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,346,0,0
1667103427871,857,Request1-1,200,OK,Thread Group 1-10,text,true,,17501,119,10,10,https://www.google.com/,846,0,0
1667103427868,866,Request1,200,OK,Thread Group 1-2,text,true,,18197,234,10,10,https://www.google.com/,351,0,0
1667103427868,351,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,351,0,0
1667103428219,515,Request1-1,200,OK,Thread Group 1-2,text,true,,17494,119,10,10,https://www.google.com/,504,0,0
1667103428161,867,Request1,200,OK,Thread Group 1-3,text,true,,18222,234,10,10,https://www.google.com/,351,0,0
